6,6,0
23,29,0
32,37,0
35,44,0
19,23,0
34,35,0
23,27,0
12,15,0
39,45,0
31,39,0
30,37,0
16,16,0
32,37,0
11,14,0
22,23,0
19,20,0
47,24,0
17,37,0
30,36,0
11,14,0
29,19,0
11,15,0
46,63,0
20,26,0
35,46,0
12,13,0
27,37,0
16,21,0
30,32,0
2,2,0
31,39,0
23,25,0
29,36,0
22,29,0
21,22,0
23,24,0
23,28,0
24,39,0
7,8,0
51,48,0
26,32,0
22,20,0
30,33,0
8,11,0
13,13,0
17,20,0
29,26,0
25,28,0
23,23,0
26,32,0
46,47,0
33,32,0
29,34,0
27,26,0
29,29,0
31,35,0
40,48,0
14,15,0
27,27,0
18,19,0
22,25,0
18,19,0
5,5,0
13,13,0
24,27,0
47,47,0
34,55,0
31,33,0
21,21,0
14,17,0
22,18,0
6,6,0
21,22,0
13,14,0
13,17,0
34,39,0
13,14,0
27,25,0
16,19,0
19,18,0
23,31,0
40,50,0
15,15,0
22,37,0
45,52,0
16,16,0
34,32,0
47,47,0
17,19,0
28,26,0
29,35,0
21,19,0
4,4,0
34,36,0
36,31,0
13,12,0
15,14,0
12,15,0
35,43,0
23,27,0
25,26,0
37,41,0
23,27,0
22,38,0
34,36,0
22,25,0
18,22,0
41,38,0
20,22,0
21,20,0
42,49,0
14,13,0
28,25,0
10,11,0
17,16,0
16,20,0
26,39,0
27,26,0
10,12,0
14,14,0
31,34,0
21,24,0
21,25,0
14,15,0
15,16,0
20,18,0
9,10,0
12,12,0
5,7,0
15,18,0
13,13,0
32,41,0
37,39,0
20,20,0
23,23,0
17,21,0
17,25,0
22,21,0
14,17,0
48,38,0
10,12,0
22,22,0
15,14,0
16,19,0
32,35,0
23,24,0
34,37,0
19,21,0
13,16,0
14,19,0
21,22,0
32,34,0
26,28,0
10,9,0
27,21,0
20,17,0
23,26,0
40,36,0
6,8,0
18,21,0
26,25,0
20,22,0
8,6,0
20,20,0
19,21,0
22,25,0
8,10,0
20,19,0
29,27,0
17,15,0
4,4,0
31,35,0
27,30,0
14,14,0
11,10,0
28,31,0
13,14,0
40,34,0
25,26,0
28,26,0
